,LR,BATCH_SIZE,WEIGHT_DECAY,UNFREEZE_K,val_f1_macro,val_precision,val_recall,val_accuracy,val_loss,train_f1_macro,train_accuracy,train_loss,epoch,overfit_gap
0,0.0006358417306510211,64,0.0053798915552686665,6,0.8057183476232095,0.8073946478358243,0.8066606872465506,0.8177570093457944,0.5836885170401814,0.8746409637549588,0.8748886910062333,0.41353730672932265,2,0.06892261613174933
1,0.00032655469364677875,32,0.004625988581777016,8,0.8009390397986849,0.8060182904900397,0.7993735299593934,0.8037383177570093,0.5957969555230899,0.9240409998582859,0.9238646482635797,0.2694125304053324,3,0.12310196005960106
2,0.0008447796775196122,32,0.005394669837374468,8,0.7963866501582867,0.818881962325855,0.8001086358296984,0.8037383177570093,0.7440708619411861,0.6215182147049918,0.6215494211932324,1.1060132860925085,1,-0.1748684354532949
3,0.0007885017801699736,64,0.002295985057729236,7,0.7948561252745575,0.8144892644366697,0.7937854247270755,0.8130841121495327,0.7083242892104888,0.8916681915370637,0.8918076580587712,0.3602368783335121,2,0.09681206626250616
4,0.0007290678775657673,64,0.005320324662796556,8,0.7899435230650361,0.7906179555863092,0.8081008478660281,0.8084112149532711,0.5987019413542525,0.6226486672369156,0.6237756010685663,1.1771710838256728,1,-0.16729485582812054
5,0.0008164922408042854,64,0.005073252309372878,8,0.7898368775137599,0.7802895040278941,0.8114236872657177,0.7897196261682243,0.7311600680663207,0.8890688854672515,0.8891362422083704,0.35986298243063214,2,0.09923200795349163
6,0.0004625279583941485,32,0.0017486114768906064,4,0.785795270720185,0.7792957216394717,0.7990884550301058,0.7850467289719626,0.7571639591288344,0.5946975753661476,0.5983971504897596,1.2790913151930403,1,-0.1910976953540373
7,0.00039167768793634867,64,0.0015107443911659588,6,0.7857638527185709,0.7959500835449602,0.789833428483808,0.794392523364486,0.6142965588614205,0.8371471410051624,0.8374888691006234,0.5395881444985381,2,0.051383288286591555
8,0.0005160060545025834,64,0.004886665701384337,5,0.7744739815192223,0.7879943188279444,0.7863458213197303,0.7897196261682243,0.6521648848168203,0.8575644954232161,0.8579697239536954,0.4655081984833321,2,0.0830905139039938
9,0.0008341395029007956,64,0.0021372836086528484,5,0.7743839117626219,0.7688028054875882,0.7909654282045173,0.7757009345794392,0.6463162333608787,0.6200139230126783,0.6197684772929652,1.1810332041495841,1,-0.15436998874994357
10,0.0009030575413078851,64,0.004131145564070091,8,0.7727712275865073,0.7982956373581374,0.7657146485182538,0.7616822429906542,0.7471437704897372,0.8814740181187302,0.8820124666073018,0.3713516024532641,2,0.10870279053222287
11,0.0003512270798600814,64,0.0019143019952693303,5,0.7714034218663537,0.7949762863825364,0.7786935155293789,0.780373831775701,0.6578856238694949,0.9067339291050582,0.9069456812110418,0.3272485378482781,3,0.13533050723870454
12,0.0005395465278453712,64,0.002179207816709572,7,0.7701005165881876,0.78494560994561,0.7652537847983768,0.780373831775701,0.7316215634346008,0.862875105752162,0.8628673196794301,0.4388939887417923,2,0.09277458916397441
13,0.0007669162372808575,64,0.003711292851404126,7,0.7679782387263205,0.7939377231710534,0.7785095807629014,0.7897196261682243,0.6613904702886243,0.891166584392415,0.8909171861086376,0.37009472902184176,2,0.12318834566609449
14,0.0006597240496352962,64,0.0043643622036644795,4,0.7668895548197747,0.7551722467643184,0.7862358506452434,0.7663551401869159,0.73312545658272,0.5868597474138467,0.5854853072128228,1.273072686932072,1,-0.180029807405928
15,0.00076030245429776,64,0.004094331107232624,7,0.7662828847203847,0.7722991305869997,0.7869194965376181,0.780373831775701,0.6450587338376268,0.6074546345982834,0.6090828138913624,1.1842743669995641,1,-0.15882825012210133
16,0.0006807348318948805,32,0.0016020965135574892,6,0.763991158917962,0.7966984439557746,0.7503522107767838,0.7710280373831776,0.664598172513124,0.6181506240737351,0.6188780053428317,1.1237320029512645,1,-0.14584053484422688
17,0.005428398375805644,16,0.00027468254432322473,6,0.7577291660331071,0.7829007833210442,0.7662550210700116,0.7476635514018691,0.963756227047644,0.8330289402515927,0.833926981300089,0.5054967449588215,4,0.07529977421848555
18,0.0015643800762325322,64,0.000919237003991929,4,0.7516466491747607,0.764989546543255,0.7566077384032792,0.7570093457943925,0.7851408845353349,0.8853833070225153,0.8855743544078362,0.3527389183866054,2,0.13373665784775468
19,0.001060240184537188,16,0.007552249469389992,3,0.7451210290081143,0.7697534740595351,0.73265824413832,0.7570093457943925,0.8317570340967624,0.7860371007773519,0.7867319679430098,0.6326180274000364,2,0.040916071769237616
20,0.004571964798429264,16,0.006135973919805578,5,0.6986667422080834,0.7047309403559403,0.7387748109996686,0.7009345794392523,1.0998153733872922,0.7479989878838564,0.7479964381121995,0.7470815313361313,3,0.04933224567577299
21,0.0035907788678335066,64,0.0009930737083984006,5,0.6663751578123329,0.6806165229249594,0.6715093124248721,0.6822429906542056,1.7635083309957915,0.5982605550688017,0.6001780943900267,1.241112731125136,1,-0.0681146027435312
