LEARNING_RATE,MARGIN,EMBEDDING_SIZE,UNFREEZE_K,val_f1_macro,val_precision,val_recall,val_accuracy,train_f1_macro,epoch
0.0006837454494310736,0.255336275341413,128,8,0.7385793754574366,0.7370008434248891,0.7666209567893629,0.7523364485981309,0.87535167006322,1
0.0021388882536617494,0.28235946831643155,128,6,0.7362827384210558,0.736440209096459,0.741159408533697,0.7289719626168224,0.8408083658256071,1
0.0013002222018920328,0.2489817779817662,128,6,0.7318227012504323,0.7489334568248488,0.7309493005413309,0.7289719626168224,0.8692673241157817,1
0.0013124580057088423,0.21941219283796332,128,4,0.7240327411937582,0.723100542388468,0.7385492735706207,0.7336448598130841,0.8798988341168084,1
0.00041834409811500843,0.2647291669064603,64,6,0.7186309523809524,0.7187206786001961,0.7313118306951324,0.7102803738317757,0.870140138489758,1
0.0017902020906513901,0.2305065096150701,128,6,0.7168266646829329,0.7379593685300208,0.7219079176147487,0.7242990654205608,0.8403490962886011,1
0.001264975909549702,0.23360482401424043,128,5,0.7112290718217674,0.7350463262227969,0.6972046296524474,0.7289719626168224,0.8549006825646766,1
0.0015093892573170078,0.1909655184672691,128,6,0.7081252126361364,0.6954013670685666,0.7324492895887583,0.7242990654205608,0.8521262086802699,1
0.0014961174271245835,0.2660412391602455,128,4,0.7079495338500028,0.7075054683878212,0.7156779231731794,0.7149532710280374,0.8678395704288467,1
0.0005242496292650949,0.3006548086318948,64,7,0.7059088264405685,0.7117355275443511,0.7240037950664137,0.719626168224299,0.8807819668298681,1
0.0010807224457231482,0.22456446234576374,128,6,0.7058249857004149,0.7125707039572586,0.7143521313706324,0.719626168224299,0.8740936586403701,1
0.0018341614045814473,0.26823142691923635,128,4,0.7037941009524904,0.7391674307305647,0.6952673762564654,0.7102803738317757,0.8623135226497108,1
0.00047900551260224414,0.19552347966184985,128,4,0.699879580412873,0.7032143258088266,0.7098670015415746,0.719626168224299,0.8739282279011872,1
0.0010512862033555171,0.1334476599313634,128,6,0.6970771452401028,0.6844736179958897,0.7168998195563661,0.7102803738317757,0.8706700299465087,1
0.0007073329640817265,0.13986497375462947,128,6,0.6952074016395332,0.7177629328751347,0.6864949987815263,0.7242990654205608,0.8785762288036738,1
0.001121093297898208,0.13528301786417113,128,5,0.6933033913340778,0.6924265186327754,0.699434042923132,0.719626168224299,0.8594661361784603,1
0.0012583197373697223,0.26350039031023464,128,6,0.6923028049995585,0.6908016143213512,0.7143114699447717,0.7242990654205608,0.8749357145504378,1
0.0010939194192669257,0.12707659137795382,128,5,0.6910973490785701,0.7017654047065811,0.6887388557573567,0.7102803738317757,0.8648528672874045,1
0.0010966860409565191,0.11249442027353251,128,5,0.6893179273364495,0.7015750094363987,0.6998860761313322,0.6962616822429907,0.8741590352351049,1
0.0007433321456438467,0.28579816887738313,64,6,0.6892005717216326,0.6825328646449336,0.7036937380035102,0.719626168224299,0.876118494005854,1
0.0008972379512764165,0.15972673855628078,256,8,0.6886604136604138,0.6874726127468143,0.7048687950253416,0.6962616822429907,0.8597160186930765,1
0.0006187995854226011,0.27262833480363435,128,8,0.6881623108623267,0.6832117773525362,0.7101852764566237,0.6915887850467289,0.8813948606609722,1
0.0014762179101279306,0.4985687929733873,64,7,0.687418135946448,0.6975460617974042,0.6853784182294618,0.6962616822429907,0.8654837253009622,1
0.0006284870746127573,0.18709047868605932,128,7,0.6845364263522,0.6928954578983183,0.6918692379199969,0.6869158878504673,0.8562713225964582,1
0.0007857844801013008,0.17029366059558418,128,5,0.6752948835768416,0.6660002035002035,0.7025870832203849,0.7009345794392523,0.8834123663195,1
0.0005449665272990292,0.33915419565250704,128,8,0.6728424325169593,0.6971284103827207,0.6571263598303447,0.6915887850467289,0.8738992989127066,1
0.0005056300823228561,0.15764944564852673,256,8,0.6715333134811556,0.6977366831575758,0.6723689353551783,0.6915887850467289,0.8881288200146434,1
0.0019011693481776738,0.3549907569841732,64,5,0.6680417562485282,0.6768768676202056,0.6740670804000974,0.6822429906542056,0.8408391689289929,1
0.000421782247658365,0.2888886243746685,128,7,0.6618112760299815,0.6689988287359712,0.6995577214267916,0.6682242990654206,0.8762690806447404,1
0.0026775480311149002,0.2214247596654504,128,8,0.6565223230157108,0.6476240694318169,0.6804579236386636,0.6495327102803738,0.7834244011329694,1
0.0006569841889643952,0.11805158447328146,64,8,0.6522417958016279,0.6479616550531697,0.6631119749952766,0.677570093457944,0.8817826588021657,1
0.0011016422683117356,0.4066022366227823,64,4,0.65111958002583,0.6599853837285903,0.6504848053590938,0.6869158878504673,0.8677113018300421,1
0.003783780857602993,0.39159770117370724,128,3,0.6343471739282799,0.6470486111111111,0.6437209585691559,0.6401869158878505,0.8222966447804664,1
0.0041382712061589525,0.4412078166095407,128,8,0.5779302103980458,0.5955065784497106,0.5878857872572294,0.6261682242990654,0.7161518879082537,1
